1649,JAM,K BAILEY-COLE,10.16
1190,BAR,R. GUTENS,10.34
1237,CAN,J. CONNAUGHTON,10.47
1767,KEN,W. MOENGA,10.84
2293,SVG,J. HAMILTON,10.85
1179,BAN,M. AHMMED,11.13
2266,SOL,F. MANIORU,11.87
1296,CMR,I. ADAM,11.88
1679,JAM,J. LIVERMORE,10.26
2242,SKN,J. ROGERS,10.39
1516,GHA,T. ABEYIE,10.5
1501,FIJ,R. TABAKAUCORO,10.51
2225,SIN,C. KANG,10.77
2252,SLE,S. BOCKARIE,10.83
2072,PNG,R. GUNASINGHE,11.03
2295,SVG,K. SHEARMAN,11.04
1965,NGR,M. JELKS,10.28
1150,BAH,W.FRASER,10.31
2381,TTO,R. THOMPSON,10.33
2221,SIN,M. BIN MUSTAPA,10.94
1005,AIA,K. ROGERS,11.11
2212,SEY,N. MARIE,11.14
1298,CMR,A BINAM WEND,11.34
1286,CAY,K HYMAN,10.2
2237,SKN,A ADAMS,10.31
1360,ENG,AJIQNES-ARYEETEY,10.33
2303,SWZ,B. MATSENJWA,10.56
2009,NIR,J. SMYTH,10.66
2085,PNG,K WISIL,10.86
2297,SVG,C. WILLRMS,10.95
2024,NRU,J. JEREMIAH,11.46
1647,JAM,N. ASHMEADE,10.4
1158,GUY,A. HARMS,10.45
1152,BAH,A.GPJIFF,10.46
2109,RSA,N. TM,10.48
1522,GHA,S. AFFUL,10.66
2231,SIN,G. YEO,10.82
1741,KEN,T. CHIRCHIR,10.85
1911,MSR,A DYETT,11.13
1004,ALA,S. RICHARDSON,11.56
1399,ENG,A GEMILI,10.15
1952,NGR,M. EDWARDS,10.4
1899,MRI,J. PERMAL,10.46
2452,ZAM,T. MUKHALA,10.53
1579,GUY,J. BASCOM,10.58
2335,TGA,S. RUMONE,10.72
2137,SAM,E. HEREME,10.92
1011,ANT,D. BAILEY,10.3
1417,ENG,R. IQLTY,10.34
2100,RSA,S. MAGAKWE,10.34
1814,LCA,C. LIONEL,10.72
2251,SLE,G. BANGURA,10.79
1913,MSR,L. RYAN,10.99
1573,GRN,M. WILSON,11
2305,SWZ,M. SHONGWE,11.06
1558,GIB,J. TORRES,11.54
2106,RSA,A SIMBINE,10.32
1953,NGR,O. EGWERO,10.38
1234,CAN,A BROWN,10.39
1199,BER,H. HOUSTON,10.72
1864,MDV,H. SAAID,10.79
1019,ANT,C. WALSH,10.88
2256,SLE,A SESAY,11.02
1208,BIZ,M. ANDERSON,11.23
